title,description,text,date,language
"Crypto Taxes: Online Tax Software to Report Bitcoin, NFTs and Digital Currencies - CNET",You must report cryptocurrency trades or income on your 2021 tax return. Crypto tax software can help.,"This story is part of Taxes 2022, CNET's coverage of the best tax software and everything else you need to get your return filed quickly, accurately and on-time.
If you sold, traded, earned, mined o… [+13378 chars]",2022-04-15,en
Drop Whatever You’re Researching and Start Working on Crypto,"INTEL LAUNCHES NEW BITCOIN MINING CHIP, BLOCKSCALE Intel’s new bitcoin mining chip, the Intel Blockscale ASIC, will ship in Q3 2022 to select customers. (Bitcoin Magazine, April 2022) STOP! Before …","INTEL LAUNCHES NEW BITCOIN MINING CHIP, BLOCKSCALEIntels new bitcoin mining chip, the Intel Blockscale ASIC, will ship in Q3 2022 to select customers. (Bitcoin Magazine, April 2022)
STOP! Before you… [+5740 chars]",2022-05-10,en
Bitcoin crash erases $36 million in value from El Salvador government's massive crypto investment as national debt grows,El Salvador became the first country to make bitcoin legal tender in September despite multiple warnings from financial institutions.,"El Salvador which became the first country to make bitcoin legal tender in September has lost $36 million in cryptocurrency as bitcoin plummeted over 50% from its all-time high on Thursday. 
Preside… [+2209 chars]",2022-05-13,en
"Bitcoin Slides Below $30,000 Amid Wider Economic Downturn - CNET",Soaring inflation is just one driver of broad losses across the crypto markets.,"Cryptocurrency prices are down amid a slew of grim economic news. With potential factors as disparate as the war In Ukraine, rising inflation and the Fed's corresponding interest rate hikes, the pric… [+2914 chars]",2022-05-10,en
Stablecoins are struggling to survive the crypto crash,"After the Terra stablecoin broke its dollar peg and dropped to less than 30 cents, investors have been watching closely for repercussions across cryptocurrency markets.","Once pegged to the dollar, Terras UST coin is now trading at 40 cents
Illustration by Alex Castro
Its been a crushing few days for the Terra project, in a week that has been unforgiving for cryptoc… [+4159 chars]",2022-05-12,en
Markets rebound after volatile week gripped by recession and crypto worries – business live,"Rolling coverage of the latest economic and financial news<ul><li>Introduction: A volatile week in the markets</li><li>Wall Street on track for worst week since January, 6th fall in a row</li><li>Turmoil and panic in crypto market as ‘stablecoin’ slump prompt…","Gold Bullion from the American Precious Metals Exchange. Photograph: Mike Segar/Reuters
Its also been a rough week for gold, which hit its lowest level since February.
Spot gold has dropped around … [+9363 chars]",2022-05-13,en
Luna Cryptocurrency Collapse: How UST Broke and Why It Matters - CNET,Last week a Luna coin was worth $85. Now it's worth a cent. Here's why that matters.,"The cryptocurrency market isn't pretty right now. Look anywhere and you'll see red: bitcoin and ether are both down over 30% week-on-week, hitting lows not seen since 2020, and altcoins like solana, … [+8299 chars]",2022-05-12,en
Bitcoin plunges to lowest price since 2020 amid broader sell-off,"The ""stablecoin"" Tether briefly lost its peg to the dollar on Thursday morning.","23 with 16 posters participating, including story author
The price of one Bitcoin briefly fell below $27,000 on Thursday morning, the lowest price for the cryptocurrency since 2020. The world's lead… [+2982 chars]",2022-05-12,en
Protecting Retirement Savings from Volatile Crypto Digital Investments,"Did you hear? You may be able to allocate some of your 401(k) retirement savings to bitcoin and other cryptocurrencies. Case in point, retirement juggernaut Fidelity. Fidelity launched a plan...","Did you hear? You may be able to allocate some of your 401(k) retirement savings to bitcoin and other cryptocurrencies.
Due - Due
Case in point, retirement juggernaut Fidelity.
Fidelity launched a… [+19721 chars]",2022-05-09,en
"L’âge d’or du cinéma n’est plus, place à l’âge Dogecoin",L’une des plus grandes chaînes de salles de cinéma accepte le jeton.,"AMC peut remercier les boursicoteurs, qui lui ont permis de voir son cours senvoler en Bourse depuis plus d’un an. Grâce au phénomène GameStop, et des WallStreetBets sur Reddit, lère des “memes stock… [+3508 chars]",2022-04-19,fr
"Dans le plus grand secret, Snowden a créé une crypto-monnaie populaire","Réfugié en Russie depuis qu'il a reconnu être à l’origine des fuites sur le programme américain de surveillance, Edward Snowden continue d'oeuvrer activement pour la vie privée. L'ancien sous-traitant de la NSA a même participé à la création du Zcash, une cry…","Edward Snowden, ancien employé de la CIA, sort une nouvelle fois de lombre avec une révélation fracassante. Nos confrères de Forbes ont dévoilé que le célèbre lanceur d’alerte a aussi été l’un des si… [+3161 chars]",2022-04-28,fr
Le bitcoin perd ses gains de 2022 et passe sous 30.000 dollars,"Londres - Le bitcoin, la principale cryptomonnaie, a vu ses gains des derniers mois s'évaporer en mai et son prix retomber brièvement mardi sous 30.000 dollars, les investisseurs fuyant les actifs à risque dans le contexte incertain de la guerre en Ukraine.","A 29.764 dollars, son plus bas mardi, le bitcoin s'échangeait à un niveau plus vu depuis juillet, et en recul de 57% par rapport à son record historique atteint en novembre 2021. 
Une dégringolade q… [+3238 chars]",2022-05-10,fr
"Envoyer des cryptos sur Telegram, c’est possible","Après l’abandon du projet de crypto de Telegram, des développeurs ont repris celui-ci. Et récemment, ceux-ci ont annoncé la possibilité d’envoyer une crypto appelée Toncoin via un bot sur le service de messagerie.","À linstar de Meta, qui est le propriétaire de WhatsApp, Telegram sintéresse aux cryptos. Dailleurs, lentreprise avait un projet de crypto baptisé Telegram Open Network (TON) que celle-ci a finalement… [+4154 chars]",2022-05-02,fr
Le bitcoin perd ses gains de 2022 et passe sous 30.000 dollars,"Le bitcoin, la principale cryptomonnaie, a vu ses gains des derniers mois s'évaporer en mai et son prix retomber brièvement mardi sous 30.000 dollars, les investisseurs fuyant les actifs à risque dans le contexte incertain de la guerre en Ukraine.
A 29.764 do…","Le bitcoin, la principale cryptomonnaie, a vu ses gains des derniers mois s'évaporer en mai et son prix retomber brièvement mardi sous 30.000 dollars, les investisseurs fuyant les actifs à risque dan… [+3536 chars]",2022-05-10,fr
"Dans les cinémas AMC, plus d’un tiers des paiements en ligne sont en crypto ou numériques",Les paiements en crypto se démocratisent chez la chaîne de cinéma AMC et les initiatives autour du NFT se multiplient.,"Les paiements en crypto se démocratisent chez la chaîne de cinéma AMC et les initiatives autour du NFT se multiplient.
Les cinémas AMC sont une chaîne incontournable aux États-Unis, notamment. Son P… [+2686 chars]",2022-05-11,fr
Les paiements en cryptomonnaies sont disponibles sur Telegram,Il est maintenant possible d’effectuer des payements en cryptomonnaies sur Telegram. Un bot récemment mis en place permet d'ajouter des actifs et même d'en acheter par carte bancaire. Il est ensuite possible de les échanger avec d'autres utilisateurs simpleme…,Il est maintenant possible deffectuer des payements en cryptomonnaies sur Telegram. Un bot récemment mis en place permet d'ajouter des actifs et même d'en acheter par carte bancaire. Il est ensuite p… [+1579 chars],2022-04-29,fr
"Retirées de Binance, les cryptos de Terra sont-elles définitivement mortes ?","Binance, la plus grande plateforme d'échanges de crypto au monde, a annoncé dans la nuit du 12 au 13 mai arrêter de proposer des UST et des LUNA, les deux crypto-monnaies de la blockchain Terra. C'est la fin du projet. La mort a été prononcée cette nuit sur l…","Binance, la plus grande plateforme d’échanges de crypto au monde, a annoncé dans la nuit du 12 au 13 mai arrêter de proposer des UST et des LUNA, les deux crypto-monnaies de la blockchain Terra. C’es… [+4680 chars]",2022-05-13,fr
Coinbase prévient qu'en cas de faillite les utilisateurs pourraient perdre l'accès à leurs fonds car ils deviendraient des créanciers non garantis,Cach� dans le rapport d�cevant sur les r�sultats du premier trimestre de Coinbase Global (dans lequel la plus grand plateforme d'�change de crypto-monnaie des �tats-Unis a signal� une perte trimestrielle de 430 millions de dollars et une baisse de 19% du nomb…,Cach dans le rapport dcevant sur les rsultats du premier trimestre de Coinbase Global (dans lequel la plus grand plateforme d'change de crypto-monnaie des tats-Unis a signal une perte trimestrielle d… [+12911 chars],2022-05-12,fr
Liens vagabonds : Quel avenir pour l’audiovisuel public ?,"À RETENIR CETTE SEMAINE :  Redevance audiovisuelle, clap de fin - Chose promise, chose due. Emmanuel Macron l’avait annoncé comme l’une des mesures de campagne durant la période électorale : la suppression de la redevance audiovisuelle devrait bel et bien avo…","À RETENIR CETTE SEMAINE : 
Redevance audiovisuelle, clap de fin - Chose promise, chose due. Emmanuel Macron lavait annoncé comme lune des mesures de campagne durant la période électorale : la suppre… [+4741 chars]",2022-05-14,fr
"Plongeon du bitcoin à 25000$: les ennemis de la crypto jubilent, les partisans aussi","La reine des cryptomonnaies s’est (encore) lourdement vautrée. Entraînant comme toujours le reste du marché dans son mouvement. Malgré les milliers de milliards de dollars perdus dans la culbute, le spectacle ravit les détracteurs. Paradoxalement, la situatio…","La reine des cryptomonnaies s’est (encore) lourdement vautrée. Entraînant comme toujours le reste du marché dans son mouvement. Malgré les milliers de milliards de dollars perdus dans la culbute, le … [+6943 chars]",2022-05-13,fr
Le bitcoin perd ses gains de 2022 et rebascule sous les 30 000 dollars,"Particulièrement volatil, le marché des cryptomonnaies a, ces derniers mois, perdu la moitié de sa valeur… au moment où la Centrafrique semble bien décidée, envers et contre tous, à s’engager dans cette voie. – Jeune Afrique","Le bitcoin, la principale cryptomonnaie, a vu ses gains des derniers mois sévaporer et son prix retomber sous les 30 000 dollars, les investisseurs fuyant les actifs à risque dans le contexte incerta… [+3768 chars]",2022-05-10,fr
"Terra, le Titanic de la crypto : quand un insubmersible stablecoin coule","L’un des projets les plus populaires de l’industrie blockchain, dont l’algorithme promettait stabilité de la cryptomonnaie, souffre d’une violente hémorragie financière. Une débâcle qui interfère même avec le prix du bitcoin. Analyse. Forcément. Un stablecoin…","L’un des projets les plus populaires de l’industrie blockchain, dont l’algorithme promettait stabilité de la cryptomonnaie, souffre d’une violente hémorragie financière. Une débâcle qui interfère mêm… [+5238 chars]",2022-05-10,fr
Le bitcoin perd ses gains de 2022 et passe sous 30.000 dollars,"A 29.764 dollars, son plus bas mardi, le bitcoin s'échangeait à un niveau plus vu depuis juillet, et en recul de 57% par rapport à son record historique atteint en novembre 2021.

Une dégringolade qui signifie que la grande majorité des fonds et des personnes…","Londres (AFP) Le bitcoin, la principale cryptomonnaie, a vu ses gains des derniers mois s'évaporer en mai et son prix retomber brièvement mardi sous 30.000 dollars, les investisseurs fuyant les actif… [+3442 chars]",2022-05-10,fr
Les cyberpirates nord-coréens à l’assaut des réseaux de cryptomonnaies,Les plates-formes de conversion de cryptomonnaies en dollars ou en euros demeurent le maillon faible dans la chaîne de sécurité du cycle financier des cryptos.,"shutterstock 
Certains groupes cybercriminels comme les groupes APT38 et le groupe Lazarus, affiliés à la Corée du Nord, se sont spécialisés dans les cyberattaques financières, car celles-ci sont en… [+12065 chars]",2022-05-11,fr
